# Per-file real macOS bats wall time (seconds), used by shard-tests.sh to
# weight the CI partition by measured cost instead of @test count (#1243).
# @test count is a loose, occasionally blind proxy for a file's real cost:
# a file whose time is almost entirely waiting (background processes, poll
# loops) can carry a tiny count while dominating its shard's wall clock, and
# a file that is merely large in @test count is not necessarily slow. This
# table sidesteps the proxy by using each file's own measured time directly.
#
# MEASURED AGAINST: GitHub Actions run 35563098757 (main, tests.yml bats
# job, macos-latest, 5 shards, 2026-09-21). Every shard in that run
# completed (none timed out), so every file below has a real file_end
# record -- summed from the run's 5 bats-timings-macos-latest-* artifacts
# (file_end rows only, macOS only).
#
# PREVIOUS MEASUREMENT: run 34845597032, 2026-09-14. Refreshing against
# this run brought the heaviest of the current 5 shards from 1132s down to
# 839s (#1304 CI-capacity work: the shard split itself was fine, this table
# had just gone stale -- see that run's own per-file numbers for detail).
# The suite's total real time also fell in this window (old table sum
# 6249s over the files common to both tables vs 4173s now), and that fall
# is two real perf fixes, not broad drift: test_remote_engine_start_refusal.bats
# 660s->43s and test_remote_status_liveness.bats 346s->80s are both #1252
# (shortened the two slowest tests' production-readiness wait). A third
# file, test_watch.bats, measured 317s->2s in this same run -- that IS a
# real 2s today (the file is quarantined as a whole for #1262, setup()
# skips every test unconditionally, see that row's own comment), not a
# stale or misleading number: this table's job is to weight the partition
# by what a file actually costs the CURRENT run, and 2s is what it costs
# while quarantined. (A pre-quarantine 317s was pinned here briefly and
# reverted -- it made the on-paper balance look nicer but actively
# unbalanced the real schedule, handing ~315s of work to a shard that
# would not actually spend it; review finding, see the row's own comment
# for the reasoning #1318 needs when it un-quarantines the file.) Every
# other file moved by single-digit seconds either way. So this window's
# imbalance was not organic, even drift -- it was two real fixes plus one
# quarantine, and neither is the kind of thing that keeps happening on a
# schedule; each only moves this table when something specific (a perf
# fix, a quarantine, an un-quarantine) actually happens to a file.
# Update-on-notice, prompted by exactly that kind of change, stays the
# right call -- no scheduled or automated refresh needed.
#
# A file with no row here (renamed, or added after this measurement) is
# estimated at this table's own average seconds/file by shard-tests.sh,
# never treated as zero-cost or dropped from the partition -- coverage does
# not depend on this table being current. tests/test_ci_sharding.bats's
# balance-ratio assertion checks the computed partition against THIS
# table's own numbers, not against a live run, so it cannot detect this
# table drifting out of sync with reality -- only a human noticing a real
# run's shard skew (as happened here) triggers a refresh. Refresh by
# re-running this extraction against a green run's bats-timings artifacts.
#
# Columns: basename<TAB>seconds. Sorted by basename for a legible diff.
test_actas_integration.bats	54
test_actas_lock.bats	34
test_antigravity_resume.bats	1
test_antigravity_transport.bats	20
test_api.bats	63
test_app_release_signing.bats	0
test_apply_fail_stderr.bats	1
test_bin_agmsg.bats	1
test_binding_mode.bats	4
test_boot_command.bats	9
test_bump_app_version.bats	0
test_capability_docs.bats	1
test_ci_forensics.bats	0
test_ci_sharding.bats	77
test_ci_workflow.bats	1
test_claude_template.bats	2
test_close_fds.bats	0
test_cmdline_path_match.bats	2
test_codex_bridge.bats	153
test_codex_bridge_launcher.bats	237
test_codex_monitor.bats	7
test_codex_resume.bats	9
test_codex_shim.bats	18
test_compat.bats	2
test_compat_posix.bats	2
test_config.bats	3
test_cut_release.bats	4
test_delivery.bats	379
test_despawn.bats	108
test_dispatch.bats	45
test_doctor.bats	72
test_endpoint_scheme.bats	1
test_endpoint_table_node.bats	1
test_enforced_assertions.bats	1
test_engine_inherited_fds.bats	21
test_export.bats	30
test_harness_self_name_off.bats	1
test_hash.bats	7
test_herdr_cli_routing.bats	2
test_identity_path_forms.bats	6
test_inbox.bats	76
test_install.bats	103
test_instance_id.bats	15
test_jsonl_remote_sync.bats	41
test_key.bats	74
test_legacy_mirror.bats	8
test_local_quoting.bats	1
test_local_team_ids.bats	13
test_locator.bats	5
test_messaging.bats	81
test_migrate_team_store.bats	106
test_node_resolve.bats	1
test_peek_poke.bats	55
test_perf_harness.bats	11
test_placement_actual_location.bats	1
test_placement_collisions.bats	37
test_plugin_registry.bats	4
test_printed_command_paths.bats	9
test_refute.bats	0
test_registry_lock.bats	6
test_release_ci_skip.bats	1
test_release_dist_tag.bats	1
test_remote.bats	322
test_remote_curl_config_paths.bats	4
test_remote_curl_stderr.bats	3
test_remote_curl_stderr_get.bats	3
test_remote_engine_start_refusal.bats	43
test_remote_forget.bats	10
test_remote_header_sink.bats	2
test_remote_refusal.bats	11
test_remote_setup_doc.bats	8
test_remote_status_liveness.bats	80
test_remote_sync.bats	169
test_remote_sync_apply_blob.bats	4
test_remote_sync_ca_bundle.bats	0
test_remote_sync_driver_input.bats	1
test_remote_sync_engine.bats	11
test_remote_sync_reject_envelope.bats	5
test_require_python3.bats	2
test_reset_role_session.bats	11
test_resolve_project.bats	33
test_resume_seat_guard.bats	14
test_resurrect_panes.bats	9
test_role_session.bats	9
test_roster_journal.bats	88
test_self_fix.bats	9
test_self_identity.bats	24
test_self_name.bats	69
test_self_proof.bats	48
test_self_rename.bats	34
